id,created,follower_id_id,user_id_id
26893,2011-12-01 16:05:17,27,6
26894,2011-01-02 01:44:38,87,6
26895,2013-06-23 09:00:26,90,6
26896,2012-04-04 06:12:28,352,6
26897,2010-09-27 19:50:43,459,6
26898,2009-02-12 01:12:03,510,6
26899,2013-06-13 06:47:35,574,6
26900,2009-06-11 22:15:09,651,6
26901,2009-05-05 04:04:32,726,6
26908,2012-02-20 20:58:06,23,10
26909,2011-04-20 05:03:45,25,10
26910,2011-12-01 16:05:17,27,10
26911,2011-01-02 01:44:38,87,10
26912,2013-06-23 09:00:26,90,10
26913,2010-07-27 22:59:18,91,10
26914,2012-05-10 13:53:01,125,10
26915,2013-01-04 06:13:22,194,10
26916,2012-07-25 17:38:32,205,10
26917,2010-07-03 12:47:31,222,10
26918,2012-04-16 10:13:33,316,10
26919,2011-03-04 04:56:22,320,10
26920,2011-05-05 03:55:38,325,10
26921,2012-04-04 06:12:28,352,10
26922,2009-12-07 06:42:04,360,10
26923,2013-01-07 18:00:13,361,10
26924,2009-12-07 06:42:04,388,10
26925,2012-09-14 08:15:38,390,10
26926,2011-01-11 05:40:43,397,10
26927,2012-11-30 13:48:11,462,10
26928,2011-06-20 09:22:46,516,10
26929,2011-07-21 22:17:37,538,10
26930,2010-07-30 15:40:19,543,10
26931,2013-06-13 06:47:35,574,10
26932,2011-10-07 16:28:38,632,10
26933,2009-12-07 06:42:04,699,10
26934,2012-09-16 17:16:40,714,10
26935,2009-12-07 06:42:04,718,10
26936,2012-05-24 09:09:18,730,10
26937,2012-06-01 20:09:32,740,10
26938,2009-12-07 06:42:04,742,10
26939,2009-12-07 06:42:04,749,10
26940,2012-02-20 06:19:08,793,10
26941,2010-07-02 17:34:01,794,10
26942,2011-05-18 07:06:12,808,10
26943,2011-06-03 20:19:00,812,10
26944,2012-01-10 16:11:42,817,10
26945,2012-04-21 07:21:53,824,10
26946,2012-01-06 23:07:35,829,10
26947,2011-03-14 00:51:46,881,10
26948,2011-03-31 02:25:36,886,10
26949,2010-05-01 07:03:38,907,10
26950,2011-09-11 23:44:20,952,10
26951,2010-01-14 02:13:38,961,10
27145,2013-06-13 06:47:35,574,12
27146,2012-04-15 07:10:07,969,12
27153,2009-09-15 18:07:32,39,14
27154,2009-11-25 10:19:16,167,14
27155,2011-07-08 22:47:09,173,14
27156,2011-06-09 16:17:21,174,14
27157,2009-06-11 22:15:09,651,14
27158,2010-01-18 17:20:37,690,14
27159,2010-06-27 19:02:04,693,14
27160,2009-12-05 14:19:50,694,14
27161,2011-12-03 19:25:22,698,14
27162,2010-09-08 00:08:04,706,14
27163,2011-06-29 01:55:37,788,14
27164,2010-07-02 17:34:01,794,14
27165,2011-12-17 11:08:25,796,14
27166,2010-01-20 04:34:59,985,14
27167,2012-04-07 08:38:23,996,14
27329,2011-06-17 17:25:26,65,26
27331,2012-04-16 10:13:33,316,30
27332,2012-04-04 06:12:28,352,31
27333,2012-04-16 10:13:33,316,33
27334,2012-04-04 06:12:28,352,33
27335,2010-06-04 15:37:24,389,33
27348,2012-04-04 06:12:28,352,36
27356,2008-12-01 20:16:05,805,41
27357,2012-04-04 06:12:28,352,42
27358,2012-04-04 06:12:28,352,43
27362,2012-04-16 10:13:33,316,45
27363,2012-04-04 06:12:28,352,45
27368,2008-12-07 17:14:02,224,48
27369,2012-04-16 10:13:33,316,48
27370,2012-04-04 06:12:28,352,48
27390,2012-04-04 06:12:28,352,56
27394,2013-06-13 06:47:35,574,57
27395,2010-09-16 13:32:33,754,57
27399,2011-06-17 17:25:26,26,65
27400,2011-06-13 14:22:15,356,65
27401,2011-04-01 05:32:16,898,65
27406,2012-03-21 02:31:14,198,70
27407,2011-10-29 16:37:11,211,70
27408,2011-10-05 20:13:13,265,70
27414,2011-08-28 18:28:34,413,76
27419,2013-06-13 06:47:35,574,87
27420,2011-01-02 01:44:38,982,87
27422,2011-04-20 05:03:45,25,88
27423,2010-09-08 00:08:04,706,88
27435,2012-04-16 10:13:33,316,107
27436,2009-06-11 22:15:09,651,107
27441,2012-04-16 10:13:33,316,114
27442,2012-04-04 06:12:28,352,114
27464,2012-04-04 06:12:28,352,115
27475,2012-06-19 04:03:43,388,117
27478,2012-05-10 13:53:01,516,125
27479,2012-05-10 13:53:01,794,125
27485,2012-04-04 06:12:28,352,142
27486,2011-01-03 20:50:18,396,142
27487,2011-01-03 20:50:18,401,142
27488,2011-01-03 20:50:18,562,142
27489,2013-06-13 06:47:35,574,142
27490,2012-04-21 07:21:53,824,142
27499,2012-04-16 10:13:33,316,143
27500,2012-04-04 06:12:28,352,143
27504,2012-04-04 06:12:28,352,152
27505,2012-04-16 10:13:33,316,153
27513,2012-04-04 06:12:28,352,166
27514,2011-11-27 03:30:16,680,167
27522,2012-04-04 06:12:28,352,170
27523,2011-08-10 08:32:47,291,172
27524,2012-04-16 10:13:33,316,172
27525,2012-04-04 06:12:28,352,172
27526,2010-11-22 08:01:37,420,172
27530,2011-07-08 22:47:09,14,173
27538,2012-04-04 06:12:28,352,187
27544,2013-06-13 06:47:35,574,194
27546,2012-03-21 02:31:14,70,198
27547,2012-03-21 02:31:14,211,198
27548,2012-03-21 02:31:14,265,198
27549,2012-04-04 06:12:28,352,203
27555,2010-04-24 18:49:08,258,210
27556,2011-10-29 16:37:11,70,211
27557,2012-03-21 02:31:14,198,211
27558,2011-10-29 16:37:11,265,211
27559,2010-09-04 07:47:24,625,217
27564,2010-11-25 00:59:18,284,222
27566,2012-04-04 06:12:28,352,224
27567,2009-02-27 11:45:55,434,224
27576,2012-04-16 10:13:33,316,233
27577,2012-04-04 06:12:28,352,233
27578,2012-04-07 08:38:23,996,233
27598,2012-04-16 10:13:33,316,240
27599,2012-04-04 06:12:28,352,240
27600,2012-04-16 10:13:33,316,241
27605,2008-04-09 02:57:48,114,248
27606,2012-04-16 10:13:33,316,248
27607,2009-03-01 15:29:51,401,248
27654,2012-04-04 06:12:28,352,251
27656,2010-04-24 18:49:08,210,258
27657,2010-09-08 00:08:04,706,258
27662,2011-05-07 20:48:08,167,260
27666,2012-04-04 06:12:28,352,264
27667,2008-12-13 01:21:47,480,264
27687,2011-10-05 20:13:13,70,265
27688,2012-03-21 02:31:14,198,265
27689,2011-10-29 16:37:11,211,265
27690,2012-04-16 10:13:33,316,266
27691,2012-04-04 06:12:28,352,266
27692,2011-01-26 13:17:25,568,266
27693,2010-07-02 17:34:01,794,266
27694,2008-05-05 18:34:45,977,266
27719,2012-04-04 06:12:28,352,267
27721,2012-04-04 06:12:28,352,269
27722,2011-06-20 09:22:46,516,269
27723,2011-12-26 08:27:16,755,269
27727,2012-04-04 06:12:28,352,273
27728,2011-12-01 16:05:17,27,274
27730,2010-08-10 23:10:48,483,276
27731,2010-08-10 23:10:48,555,276
27732,2010-08-10 23:10:48,882,276
27735,2012-04-04 06:12:28,352,277
27742,2010-11-25 00:59:18,222,284
27743,2011-06-20 09:22:46,516,284
27755,2011-08-10 08:32:47,172,291
27756,2011-08-10 08:32:47,277,291
27757,2012-04-16 10:13:33,316,291
27758,2012-04-04 06:12:28,352,291
27759,2011-08-10 08:32:47,529,291
27774,2012-04-16 10:13:33,316,304
27785,2012-04-16 10:13:33,316,315
27786,2012-04-04 06:12:28,352,315
27788,2012-04-16 10:13:33,172,316
27789,2012-04-16 10:13:33,315,316
27790,2012-04-16 10:13:33,352,316
27791,2012-04-16 10:13:33,643,316
27792,2012-04-16 10:13:33,998,316
27834,2012-04-16 10:13:33,316,319
27835,2012-04-04 06:12:28,352,319
27837,2012-10-23 12:14:37,271,327
27838,2012-04-16 10:13:33,316,327
27839,2010-11-09 09:42:43,319,327
27840,2012-04-04 06:12:28,352,327
27841,2010-03-21 15:25:55,483,327
27842,2011-06-20 09:22:46,516,327
27843,2013-06-13 06:47:35,574,327
27844,2010-05-27 21:06:34,636,327
27845,2010-09-08 00:08:04,706,327
27846,2009-06-10 17:33:34,737,327
27847,2010-07-02 17:34:01,794,327
27848,2010-05-01 07:03:38,907,327
27849,2012-01-16 23:49:52,943,327
27850,2010-05-29 22:38:48,970,327
27865,2012-04-16 10:13:33,316,328
27866,2012-04-04 06:12:28,352,328
27868,2012-04-16 10:13:33,316,332
27869,2012-04-16 10:13:33,316,336
27870,2009-08-20 20:26:54,651,336
27877,2012-04-04 06:12:28,352,343
27883,2010-07-21 01:42:41,576,345
27884,2010-09-08 00:08:04,706,345
27891,2012-04-16 10:13:33,316,353
27892,2012-04-04 06:12:28,352,353
27893,2012-04-16 10:13:33,316,356
27894,2012-04-04 06:12:28,352,356
27896,2012-04-16 10:13:33,316,359
27900,2012-04-16 10:13:33,316,363
27901,2012-04-04 06:12:28,352,363
27902,2011-02-02 07:42:50,388,363
27922,2012-04-16 10:13:33,316,367
27923,2012-04-04 06:12:28,352,367
27934,2012-04-04 06:12:28,352,368
27944,2011-06-20 09:22:46,516,370
27946,2012-04-04 06:12:28,352,375
27947,2010-02-14 04:45:46,435,376
27950,2012-04-04 06:12:28,352,377
27951,2009-01-05 23:44:13,224,378
27952,2012-04-04 06:12:28,352,378
27953,2010-09-20 16:40:54,398,378
27986,2012-06-19 04:03:43,117,388
27987,2013-06-13 06:47:35,574,388
27996,2010-09-20 16:40:54,378,398
27997,2012-04-16 10:13:33,316,401
27998,2012-04-04 06:12:28,352,401
28021,2012-04-04 06:12:28,352,416
28031,2012-04-04 06:12:28,352,422
28034,2012-04-16 10:13:33,316,423
28035,2012-04-04 06:12:28,352,423
28036,2010-03-21 15:25:55,483,423
28050,2012-04-04 06:12:28,352,428
28051,2010-09-16 20:22:28,706,428
28055,2009-02-27 11:45:55,224,434
28056,2012-04-16 10:13:33,316,434
28057,2012-04-04 06:12:28,352,434
28058,2009-09-01 08:12:00,537,434
28079,2010-10-05 03:48:31,287,436
28080,2012-04-16 10:13:33,316,436
28081,2012-04-04 06:12:28,352,436
28091,2012-04-16 10:13:33,316,443
28092,2012-04-04 06:12:28,352,443
28096,2009-09-21 19:39:01,119,447
28100,2012-04-16 10:13:33,316,455
28102,2010-05-10 04:19:46,166,456
28103,2012-02-09 06:30:03,256,456
28111,2012-04-16 10:13:33,316,461
28112,2012-04-04 06:12:28,352,461
28158,2012-04-16 10:13:33,316,480
28159,2012-04-04 06:12:28,352,480
28205,2010-10-06 05:16:35,323,486
28206,2012-04-04 06:12:28,352,486
28211,2012-04-16 10:13:33,316,492
28212,2012-04-04 06:12:28,352,492
28233,2012-04-04 06:12:28,352,494
28236,2012-04-16 10:13:33,316,496
28237,2012-04-04 06:12:28,352,496
28254,2011-02-02 08:11:48,642,503
