id;company;location;type;user_id
333;-;-;USR;333
334;-;-;USR;334
335;-;-;USR;335
337;-;-;USR;337
338;-;-;USR;338
339;-;-;USR;339
340;-;-;USR;340
341;-;-;USR;341
342;-;-;USR;342
344;-;-;USR;344
347;-;-;USR;347
348;-;China;USR;348
349;-;-;USR;349
350;-;ShangHai;USR;350
358;-;-;USR;358
359;andrevonhouck.com;-;USR;359
360;-;-;USR;360
361;UNC Chapel Hill;-;USR;361
362;Titech;Tokyo;USR;362
363;-;China;USR;363
366;-;-;USR;366
368;;-;USR;368
369;-;-;USR;369
371;Contract Developer;USA;USR;371
372;-;Denmark;USR;372
373;-;-;USR;373
374;-;-;USR;374
375;Hexwhale;kerala;USR;375
377;cfxd.;charlotte;USR;377
380;;Amsterdam;USR;380
381;-;-;USR;381
383;-;-;USR;383
386;-;Singapore;USR;386
387;;Missouri;USR;387
388;-;-;USR;388
389;Intelie;Vila Velha - ES;USR;389
390;;--;USR;390
392;NRU ITMO;St. Petersburg;USR;392
393;-;-;USR;393
395;-;-;USR;395
396;-;Argentina;USR;396
399;FaithStreet;New York;USR;399
400;-;-;USR;400
401;-;-;USR;401
402;-;-;USR;402
403;-;China;USR;403
405;-;-;USR;405
406;-;-;USR;406
409;-;-;USR;409
410;-;-;USR;410
412;-;-;USR;412
413;-;-;USR;413
414;Facebook;-;USR;414
415;-;-;USR;415
416;Facebook;San Francisco Bay Area;USR;416
417;Xave Corp.;Paris;USR;417
419;-;-;USR;419
421;-;-;USR;421
422;-;New Zealand;USR;422
424;-;-;USR;424
426;-;-;USR;426
429;-;-;USR;429
430;-;-;USR;430
431;-;-;USR;431
432;V3r (self);US-India;USR;432
433;-;-;USR;433
436;-;Utah;USR;436
438;-;-;USR;438
439;-;USA;USR;439
440;-;-;USR;440
441;Lab45;San Francisco;USR;441
443;Facebook;San Francisco;USR;443
444;Facebook;-;USR;444
446;na;Montreal;USR;446
448;-;-;USR;448
450;-;-;USR;450
451;-;-;USR;451
452;-;-;USR;452
453;-;-;USR;453
456;-;China Beijing;USR;456
457;-;-;USR;457
458;-;-;USR;458
460;-;-;USR;460
461;Facebook;-;USR;461
466;-;-;USR;466
467;Roche;Warsaw;USR;467
468;-;-;USR;468
469;-;-;USR;469
470;-;-;USR;470
471;-;-;USR;471
473;Facebook;-;USR;473
474;werscientists;Lake charles;USR;474
475;-;-;USR;475
476;-;-;USR;476
477;-;-;USR;477
479;-;-;USR;479
481;-;-;USR;481
482;-;-;USR;482
483;;vancity/detroit;USR;483
484;-;-;USR;484
485;Rubic;Netherlands;USR;485
487;;Germany;USR;487
489;-;-;USR;489
490;-;-;USR;490
491;-;Germany;USR;491
493;-;-;USR;493
494;-;Russia;USR;494
495;-;-;USR;495
496;Scribd;San Francisco;USR;496
497;-;-;USR;497
499;Novak + Co.;Toronto;USR;499
500;-;-;USR;500
501;-;-;USR;501
502;;--;USR;502
504;-;-;USR;504
505;-;-;USR;505
506;;Chicago;USR;506
508;-;Chicago;USR;508
509;-;-;USR;509
511;Microsoft;San Francisco;USR;511
512;-;-;USR;512
515;-;-;USR;515
518;Meetup;-;USR;518
519;-;-;USR;519
521;-;-;USR;521
522;-;-;USR;522
523;-;-;USR;523
524;-;-;USR;524
525;-;-;USR;525
528;-;-;USR;528
530;-;-;USR;530
531;-;-;USR;531
532;-;-;USR;532
533;-;-;USR;533
534;-;Poland;USR;534
535;-;-;USR;535
536;Facebook;Mountainview;USR;536
540;-;-;USR;540
541;-;-;USR;541
544;Infochimps;Boston;USR;544
546;-;Finland;USR;546
547;-;-;USR;547
549;-;-;USR;549
554;-;-;USR;554
557;-;-;USR;557
558;-;-;USR;558
559;-;-;USR;559
560;-;-;USR;560
561;-;-;USR;561
562;-;-;USR;562
563;-;-;USR;563
564;-;-;USR;564
565;-;-;USR;565
567;-;-;USR;567
570;Ness;Bangalore;USR;570
571;-;-;USR;571
573;-;-;USR;573
574;;--;USR;574
575;-;-;USR;575
576;;─=≡Σ(([ ⊐•̀⌂•́]⊐;USR;576
577;FreshAir;-;USR;577
578;-;-;USR;578
580;-;-;USR;580
581;-;-;USR;581
582;-;-;USR;582
585;Detica;London;USR;585
586;Coconut Island Studio;Shanghai;USR;586
587;;-;USR;587
588;Jane Street;Hong Kong;USR;588
589;-;Chicago;USR;589
590;-;-;USR;590
591;-;-;USR;591
594;-;London;USR;594
595;-;-;USR;595
596;-;Germany;USR;596
597;http://path.to;Jacksonville Fl;USR;597
599;Unemployed and Happy;India;USR;599
600;-;-;USR;600
601;-;-;USR;601
602;Facebook;-;USR;602
603;-;-;USR;603
604;-;Brazil;USR;604
605;Monkeys in Town Lda.;Portugal;USR;605
606;-;-;USR;606
607;-;-;USR;607
608;-;-;USR;608
610;Future Simple;Cracov;USR;610
611;-;Riga;USR;611
613;-;-;USR;613
614;-;-;USR;614
615;-;-;USR;615
617;-;-;USR;617
619;-;-;USR;619
620;-;Jogja - Bandung;USR;620
621;-;-;USR;621
624;-;-;USR;624
626;-;-;USR;626
627;-;-;USR;627
628;Quickplay Media;Toronto;USR;628
629;-;New York;USR;629
630;-;-;USR;630
631;-;-;USR;631
633;-;-;USR;633
634;home;Moscow;USR;634
635;Novartis Pharma AG;Basel (CH);USR;635
636;sobhe;Tehran;USR;636
637;-;Amsterdam;USR;637
638;-;-;USR;638
639;-;-;USR;639
640;-;-;USR;640
641;-;-;USR;641
642;-;-;USR;642
644;-;-;USR;644
645;-;-;USR;645
646;-;-;USR;646
647;-;-;USR;647
648;-;-;USR;648
650;-;-;USR;650
652;-;-;USR;652
654;-;-;USR;654
655;CWA. BeiJing;Beijing China;USR;655
656;-;-;USR;656
657;-;Azeroth;ORG;657
658;-;-;USR;658
659;-;-;USR;659
660;-;-;USR;660
661;-;-;USR;661
662;-;-;USR;662
663;-;-;USR;663
664;-;-;USR;664
665;-;china;USR;665
667;-;-;USR;667
668;-;-;USR;668
669;-;-;USR;669
672;-;-;USR;672
673;-;china;USR;673
674;-;-;USR;674
675;ucweb;Beijing China;USR;675
676;-;-;USR;676
677;-;-;USR;677
679;-;-;USR;679
680;-;-;USR;680
681;-;-;USR;681
682;EA;beijing;USR;682
683;-;New York;USR;683
684;-;-;USR;684
685;-;-;USR;685
686;-;-;USR;686
687;-;-;USR;687
688;-;-;USR;688
689;IIIT Hyderabad;Hyderabad;USR;689
691;-;-;USR;691
692;-;-;USR;692
694;Freelancer;Berlin / GERMANY;USR;694
695;-;-;USR;695
696;AresLabs;USA;USR;696
697;-;-;USR;697
698;-;-;USR;698
699;Cass Business School;London;USR;699
700;-;-;USR;700
701;-;-;USR;701
702;-;-;USR;702
704;-;-;USR;704
705;-;Landau / Germany;USR;705
707;-;-;USR;707
708;-;-;USR;708
709;-;-;USR;709
711;-;-;USR;711
713;Jacobs University;Bremen;USR;713
714;-;-;USR;714
715;-;At 3 nm from the BIOS. :);USR;715
716;-;-;USR;716
717;Bocoup;Boston;USR;717
719;-;-;USR;719
720;-;Dalian;ORG;720
721;Lab49;NY;USR;721
722;-;-;USR;722
723;monoBytes LLC;RTP;USR;723
724;-;-;USR;724
725;-;-;USR;725
726;-;-;USR;726
727;-;Uviéu (Asturies);USR;727
729;-;-;USR;729
730;-;-;USR;730
731;;China;USR;731
734;Home;Somewhere in the Eastern US;USR;734
735;-;-;USR;735
736;-;New York / Istanbul;USR;736
738;-;Saint-Petersburg Russia;USR;738
739;SAP;China;USR;739
742;University of Cologne;Cologne (GER);USR;742
743;-;-;USR;743
746;-;-;USR;746
748;-;-;USR;748
750;-;-;USR;750
753;-;-;USR;753
755;Hertie School of Governance;Germany;USR;755
758;-;-;USR;758
759;Yale University;-;USR;759
760;-;-;USR;760
761;-;-;USR;761
762;-;Palo Alto;USR;762
763;-;Ireland;USR;763
765;-;-;USR;765
